trip_id,y_actual_route,y_pred_route,lower_route,upper_route,n_segments,date,direction,interval_width
13059,3314.0,3203.1157,-5304.390529911942,11710.62199048323,36,2024-08-27,1,17015.012520395172
13061,2766.0,3233.5476,-4898.744544962328,11365.83998105852,35,2024-08-27,1,16264.584526020848
13063,3377.0,3047.445,-4692.834615039096,10787.724763201939,34,2024-08-27,1,15480.559378241036
13065,3423.0,3335.8047,-5935.302238350186,12606.911727791103,39,2024-08-27,2,18542.213966141288
13067,3136.0,2967.3555,-5180.386316194979,11115.097291841952,35,2024-08-27,1,16295.483608036931
13069,3218.0,2981.0962,-5023.270134169139,10985.462700087108,36,2024-08-27,2,16008.732834256247
13071,3296.0,3473.8682,-5033.638109486527,11981.374410908646,36,2024-08-27,1,17015.012520395172
13073,3748.0,3795.3484,-4445.164414909674,12035.861150291754,35,2024-08-27,1,16481.025565201428
13079,2995.0,3216.443,-4379.0506406404365,10811.93669944781,34,2024-08-27,1,15190.987340088246
13081,3748.0,3539.1177,-6174.902083644396,13253.137279042727,40,2024-08-27,2,19428.039362687123
13084,3712.0,3872.618,-5841.401732811457,13586.637629875666,40,2024-08-27,2,19428.039362687123
13085,3162.0,4485.804,-4021.7018282823037,12993.31069211287,36,2024-08-27,1,17015.012520395172
13088,3308.0,3566.5835,-4673.929172066046,11807.096393135382,35,2024-08-27,1,16481.025565201428
13089,2797.0,3150.772,-5091.762248987331,11393.306201929227,37,2024-08-27,2,16485.06845091656
13091,3449.0,3397.8706,-5109.635536473222,11905.376983921951,36,2024-08-27,1,17015.012520395172
13094,3440.0,3377.2163,-6336.803348311907,13091.236014375216,40,2024-08-27,2,19428.039362687123
13099,3289.0,3802.0405,-4705.465669911332,12309.54685048384,36,2024-08-27,1,17015.012520395172
13103,3398.0,4488.7344,-3751.7785067828427,12729.247058418585,35,2024-08-27,1,16481.025565201428
13109,3499.0,4106.2065,-4401.299701970048,12613.712818425125,36,2024-08-27,1,17015.012520395172
13111,3367.0,3296.5845,-6417.435249695307,13010.604112991816,40,2024-08-27,2,19428.039362687123
13113,3132.0,3107.3076,-5299.605762784595,11514.221008603687,37,2024-08-27,2,16813.82677138828
13119,3631.0,3294.5664,-6096.129290579192,12685.262277840011,39,2024-08-27,2,18781.391568419203
13123,5439.0,4865.5293,-3374.9833941729794,13106.042171028448,35,2024-08-27,1,16481.025565201428
13125,3340.0,3252.3203,-6138.37541639649,12643.01615202271,39,2024-08-27,2,18781.3915684192
13127,3496.0,4447.977,-3727.1990972653107,12623.15331326873,35,2024-08-27,1,16350.35241053404
13129,3233.0,3150.4727,-6137.321124831949,12438.26636676005,39,2024-08-27,2,18575.587491592
13131,3161.0,3305.564,-4044.727444088293,10655.855610287024,34,2024-08-27,1,14700.583054375318
13133,3561.0,3440.841,-6273.178530106074,13154.86083258105,40,2024-08-27,2,19428.039362687123
13138,5127.0,4453.462,-3240.451814681334,12147.375207930845,34,2024-08-27,1,15387.827022612179
13140,5148.0,4475.562,-3266.7586954531675,12217.882413714886,34,2024-08-27,1,15484.641109168053
