segment,direction,mean_width,std_width,median_width,mean_fraction,mean_actual,count,rank_overall
45,2,82.6704478996177,10.883339107277704,82.67096225490442,0.020839776244162722,35.23837209302326,172,83
46,2,77.69407166589909,8.188332124364837,76.27093142451739,0.02068227651658396,59.51923076923077,52,95
47,2,77.61616554772594,6.838960840961836,76.56763855954827,0.019386164869411523,69.3076923076923,26,97
48,2,77.68814487727883,6.274837370085656,76.1850496709268,0.018266348624866702,53.88235294117647,17,96
49,2,77.02527522121129,4.30629266809148,76.13292634250183,0.017729414109021763,43.2,10,99
50,2,75.67278906678236,5.353595161520113,74.39788273393305,0.016670984515546047,55.666666666666664,6,105
51,2,74.13907679294368,5.371576928125663,73.40097824887243,0.01505056946409675,42.0,5,107
52,2,75.5459797847404,6.608340164737504,73.09921618255194,0.015309449541872784,82.0,4,106
53,2,76.23735714833637,7.973145793024878,73.09921618255194,0.01544855323373612,73.5,4,104
54,2,76.52080979218131,9.717494747464638,73.40097824887243,0.01538257803018467,69.33333333333333,3,101
55,2,68.74639685079836,,68.74639685079836,0.013881332498727177,75.0,1,110
56,2,67.5754659508421,,67.5754659508421,0.01364489710865716,39.0,1,111
